"TransactionID,Timestamp,Amount,TransactionType,Location,IPAddress,UserID,IsFraud"
"TXN_240,2025-01-01 01:53:30,47.11,Withdrawal,Pune,133.94.120.216,User_40,0"
"TXN_80,2025-01-01 02:39:54,2.75,Withdrawal,Pune,46.253.69.58,User_32,0"
"TXN_1596,2025-01-01 03:09:00,21.49,Payment,Remote_A,235.234.141.3,User_55,1"
"TXN_1830,2025-01-01 03:11:07,20.47,Purchase,Noida,135.156.2.111,User_2,0"
"TXN_1610,2025-01-01 05:03:45,15.61,Purchase,Noida,180.54.255.240,User_67,0"
"TXN_480,2025-01-01 05:21:51,61.53,Purchase,Gurgaon,199.27.104.133,User_31,0"
"TXN_1724,2025-01-01 06:48:48,37.17,Payment,Nagpur,199.102.243.123,User_45,0"
"TXN_887,2025-01-01 07:17:25,36.01,Transfer,Pune,214.54.237.107,User_49,0"
"TXN_227,2025-01-01 07:52:54,21.42,Payment,Remote_A,82.234.61.145,User_51,0"
"TXN_1853,2025-01-01 08:22:43,6.09,Purchase,Gurgaon,130.92.132.34,User_63,0"
"TXN_133,2025-01-01 10:02:41,33.95,Withdrawal,Remote_A,146.123.159.103,User_93,1"
"TXN_512,2025-01-01 11:57:17,19.1,Transfer,Offshore_B,87.159.88.145,User_11,0"
"TXN_646,2025-01-01 13:12:52,15.29,Payment,Offshore_B,226.201.64.104,User_25,0"
"TXN_1199,2025-01-01 14:03:11,25.13,Withdrawal,Gurgaon,169.5.9.78,User_26,0"
"TXN_1491,2025-01-01 20:44:19,11.57,Transfer,Mumbai,95.30.71.53,User_97,0"
"TXN_1388,2025-01-02 00:12:41,95.73,Withdrawal,Remote_A,205.235.27.22,User_27,1"
"TXN_873,2025-01-02 00:28:20,5.06,Purchase,Gurgaon,178.63.221.38,User_42,0"
"TXN_258,2025-01-02 01:50:26,9.9,Purchase,Nagpur,175.227.21.233,User_53,0"
"TXN_296,2025-01-02 03:28:39,10.05,Purchase,Offshore_B,18.242.181.64,User_8,1"
"TXN_13,2025-01-02 06:17:11,25.58,Purchase,Island_C,199.102.243.123,User_45,0"
"TXN_1324,2025-01-02 06:48:56,32.67,Purchase,Pune,121.165.71.175,User_12,0"
"TXN_744,2025-01-02 11:49:27,20.62,Purchase,Mumbai,45.179.145.202,User_4,0"
"TXN_172,2025-01-02 12:27:29,8.88,Transfer,Island_C,229.79.44.183,User_5,0"
"TXN_1713,2025-01-02 13:08:20,2.29,Purchase,Delhi,72.191.65.159,User_23,0"
"TXN_575,2025-01-02 13:44:21,46.04,Purchase,Nagpur,133.169.31.32,User_30,0"
"TXN_1044,2025-01-02 14:06:34,19.33,Purchase,Mumbai,183.243.165.195,User_68,0"
"TXN_1623,2025-01-02 15:29:42,50.36,Deposit,Island_C,45.226.160.129,User_17,0"
"TXN_106,2025-01-02 18:30:42,30.09,Purchase,Mumbai,63.242.180.92,User_84,0"
"TXN_1319,2025-01-02 18:36:08,10.92,Purchase,Delhi,121.165.71.175,User_12,0"
"TXN_1141,2025-01-02 19:11:17,14.92,Purchase,Remote_A,119.192.36.146,User_86,0"
"TXN_560,2025-01-02 19:47:42,13.18,Purchase,Remote_A,25.210.71.37,User_45,0"
"TXN_1346,2025-01-02 20:02:27,4.55,Payment,Nagpur,130.134.15.9,User_95,0"
"TXN_1723,2025-01-02 20:42:54,42.05,Payment,Gurgaon,10.78.61.134,User_36,0"
"TXN_65,2025-01-03 05:30:19,45.26,Transfer,Noida,135.156.2.111,User_2,0"
"TXN_1649,2025-01-03 08:14:10,65.85,Purchase,Mumbai,233.80.147.20,User_92,0"
"TXN_1398,2025-01-03 09:30:41,7.6,Purchase,Noida,168.206.34.12,User_65,0"
"TXN_1944,2025-01-03 09:37:10,14.25,Purchase,Noida,63.242.180.92,User_84,0"
"TXN_349,2025-01-03 10:57:47,9.79,Payment,Pune,93.161.117.169,User_28,0"
"TXN_493,2025-01-03 15:43:39,21.7,Payment,Island_C,130.134.15.9,User_95,0"
"TXN_1655,2025-01-03 16:16:55,106.67,Payment,Offshore_B,235.234.141.-4,User_55,1"
"TXN_604,2025-01-03 16:51:56,77.92,Purchase,Gurgaon,131.12.227.101,User_38,0"
"TXN_403,2025-01-03 17:56:10,20.19,Transfer,Pune,96.215.133.52,User_96,0"
"TXN_125,2025-01-03 20:46:35,36.12,Purchase,Nagpur,180.54.255.240,User_67,0"
"TXN_1279,2025-01-03 23:27:36,24.34,Transfer,Pune,135.156.2.111,User_2,0"
"TXN_532,2025-01-03 23:31:29,3.81,Transfer,Mumbai,24.62.153.104,User_39,0"
"TXN_1227,2025-01-04 00:54:52,20.99,Withdrawal,Noida,18.242.181.64,User_8,1"
"TXN_1323,2025-01-04 01:18:55,18.72,Withdrawal,Island_C,168.29.56.150,User_94,0"
"TXN_1296,2025-01-04 03:35:24,18.19,Purchase,Remote_A,79.73.100.111,User_6,0"
"TXN_897,2025-01-04 03:41:39,16.99,Purchase,Noida,220.148.128.100,User_90,0"
"TXN_1593,2025-01-04 03:52:35,31.08,Purchase,Delhi,218.217.75.8,User_50,0"
"TXN_884,2025-01-04 04:35:39,57.06,Transfer,Pune,63.242.180.92,User_84,0"
"TXN_1071,2025-01-04 05:32:01,19.16,Purchase,Delhi,199.102.243.123,User_45,0"
"TXN_1328,2025-01-04 07:53:25,17.39,Purchase,Offshore_B,217.71.2.93,User_81,0"
"TXN_380,2025-01-04 08:21:33,8.95,Transfer,Gurgaon,168.29.56.150,User_94,0"
"TXN_820,2025-01-04 12:57:37,58.29,Purchase,Delhi,168.29.56.150,User_94,0"
"TXN_874,2025-01-04 16:33:52,9.67,Purchase,Nagpur,235.234.141.3,User_55,0"
"TXN_82,2025-01-04 18:46:05,28.71,Payment,Noida,45.226.160.129,User_17,0"
"TXN_294,2025-01-04 19:01:31,46.97,Payment,Delhi,233.80.147.20,User_92,0"
"TXN_324,2025-01-04 22:58:39,349.09,Withdrawal,Island_C,57.254.97.214,User_83,1"
"TXN_461,2025-01-05 00:40:50,143.27,Purchase,Delhi,96.215.133.52,User_96,0"
"TXN_758,2025-01-05 01:11:54,24.16,Purchase,Pune,82.234.61.145,User_51,0"
"TXN_635,2025-01-05 03:31:58,7.3,Transfer,Noida,28.213.41.228,User_100,0"
"TXN_1197,2025-01-05 05:27:27,19.69,Withdrawal,Delhi,96.215.133.52,User_96,0"
"TXN_1219,2025-01-05 09:57:15,8.71,Purchase,Pune,244.247.192.247,User_62,0"
"TXN_1466,2025-01-05 18:28:12,36.18,Purchase,Nagpur,30.65.152.26,User_87,0"
"TXN_203,2025-01-05 19:30:46,59.33,Purchase,Nagpur,235.234.141.3,User_55,0"
"TXN_1900,2025-01-05 23:56:13,14.95,Purchase,Mumbai,153.13.215.23,User_21,0"
"TXN_650,2025-01-06 00:08:39,40.29,Transfer,Noida,229.79.44.183,User_5,0"
"TXN_712,2025-01-06 02:21:06,18.23,Purchase,Remote_A,244.247.192.247,User_62,0"
"TXN_972,2025-01-06 02:29:32,10.16,Transfer,Mumbai,199.27.104.133,User_31,0"
"TXN_1075,2025-01-06 04:11:05,54.39,Purchase,Gurgaon,199.102.243.123,User_45,0"
"TXN_862,2025-01-06 04:17:31,4.41,Payment,Pune,96.215.133.52,User_96,0"
"TXN_1639,2025-01-06 05:00:38,641.61,Transfer,Remote_A,89.3.248.160,User_34,1"
"TXN_218,2025-01-06 08:37:40,15.85,Purchase,Gurgaon,40.255.118.14,User_88,0"
"TXN_867,2025-01-06 11:21:48,26.73,Transfer,Offshore_B,130.134.15.9,User_95,1"
"TXN_1819,2025-01-06 11:27:07,16.26,Transfer,Delhi,61.82.222.209,User_78,1"
"TXN_1685,2025-01-06 16:48:36,6.18,Purchase,Nagpur,239.79.154.161,User_33,0"
"TXN_1009,2025-01-06 21:08:33,57.37,Purchase,Pune,109.5.155.9,User_52,0"
"TXN_309,2025-01-06 21:18:16,34.71,Payment,Noida,116.102.154.79,User_14,0"
"TXN_1989,2025-01-06 22:26:05,10.58,Purchase,Pune,80.200.197.179,User_48,0"
